rowid,kepid,kepoi_name,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,10797460,K00752.01,9.48803557,2.78E-05,-2.78E-05,170.53875,2.16E-03,-2.16E-03,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,2.26,2.60E-01,-1.50E-01,793,,,93.59,29.45,-16.65,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347
2,10797460,K00752.02,54.4183827,2.48E-04,-2.48E-04,162.51384,3.52E-03,-3.52E-03,0.586,0.059,-0.443,4.507,0.116,-0.116,2.83,3.20E-01,-1.90E-01,443,,,9.11,2.87,-1.62,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347
3,10811496,K00753.01,19.89913995,1.49E-05,-1.49E-05,175.850252,5.81E-04,-5.81E-04,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,14.6,3.92E+00,-1.31E+00,638,,,39.3,31.04,-10.49,5853,158,-176,4.544,0.044,-0.176,0.868,0.233,-0.078,297.00482,48.134129,15.436
4,10848459,K00754.01,1.736952453,2.63E-07,-2.63E-07,170.307565,1.15E-04,-1.15E-04,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,33.46,8.50E+00,-2.83E+00,1395,,,891.96,668.95,-230.35,5805,157,-174,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597
5,10854555,K00755.01,2.525591777,3.76E-06,-3.76E-06,171.59555,1.13E-03,-1.13E-03,0.701,0.235,-0.478,1.6545,0.042,-0.042,2.75,8.80E-01,-3.50E-01,1406,,,926.16,874.33,-314.24,6031,169,-211,4.438,0.07,-0.21,1.046,0.334,-0.133,288.75488,48.2262,15.509
6,10872983,K00756.01,11.09432054,2.04E-05,-2.04E-05,171.20116,1.41E-03,-1.41E-03,0.538,0.03,-0.428,4.5945,0.061,-0.061,3.9,1.27E+00,-4.20E-01,835,,,114.81,112.85,-36.7,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
7,10872983,K00756.02,4.13443512,1.05E-05,-1.05E-05,172.97937,1.90E-03,-1.90E-03,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,2.77,9.00E-01,-3.00E-01,1160,,,427.65,420.33,-136.7,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
8,10872983,K00756.03,2.56658897,1.78E-05,-1.78E-05,179.55437,4.61E-03,-4.61E-03,0.755,0.212,-0.523,2.429,0.165,-0.165,1.59,5.20E-01,-1.70E-01,1360,,,807.74,793.91,-258.2,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
9,6721123,K00114.01,7.36178958,2.13E-05,-2.13E-05,132.25053,2.53E-03,-2.53E-03,1.169,7.133,-0.044,5.022,0.136,-0.136,39.21,6.45E+00,-9.67E+00,1342,,,767.22,349.28,-365.49,6227,111,-124,3.986,0.182,-0.098,1.958,0.322,-0.483,298.86435,42.151569,12.66
10,10910878,K00757.01,16.06864674,1.09E-05,-1.09E-05,173.621937,5.17E-04,-5.17E-04,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,5.76,2.20E-01,-4.90E-01,600,,,30.75,4.46,-6.66,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
11,11446443,K00001.01,2.470613377,2.70E-08,-2.70E-08,122.763305,8.70E-06,-8.70E-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,13.04,5.10E-01,-5.10E-01,1339,,,761.46,106.21,-95.76,5820,78,-78,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338
12,10666592,K00002.01,2.204735417,4.30E-08,-4.30E-08,121.3585417,1.60E-05,-1.60E-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,16.1,8.10E-01,-9.10E-01,2048,,,4148.92,651.59,-654.46,6440,76,-89,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463
13,6922244,K00010.01,3.522498429,1.98E-07,-1.98E-07,121.1194228,4.71E-05,-4.71E-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,14.59,1.11E+00,-1.11E+00,1521,,,1264.67,307.23,-276.48,6225,112,-137,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563
14,10984090,K00112.02,3.709214104,6.54E-06,-6.54E-06,133.98318,1.43E-03,-1.43E-03,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,1.16,1.70E-01,-1.20E-01,1206,,,500.46,197.96,-130.54,5833,105,-117,4.407,0.085,-0.114,1.022,0.143,-0.107,295.64871,48.49556,12.772
15,10419211,K00742.01,11.52144606,1.98E-06,-1.98E-06,170.839688,1.31E-04,-1.31E-04,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,150.51,3.98E+01,-1.33E+01,753,,,75.88,58.89,-19.99,5795,155,-172,4.554,0.033,-0.176,0.848,0.224,-0.075,297.07993,47.597401,15.472
16,10464078,K00743.01,19.40393776,2.07E-05,-2.07E-05,172.484253,8.42E-04,-8.42E-04,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,7.18,7.60E-01,-6.80E-01,523,,,17.69,6.66,-4.88,5043,151,-151,4.591,0.072,-0.048,0.68,0.072,-0.065,289.25821,47.635319,15.487
17,10480982,K00744.01,19.22138894,1.12E-06,-1.12E-06,184.5521637,4.50E-05,-4.50E-05,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,49.29,1.60E+01,-5.00E+00,698,,,55.97,54.55,-16.4,6117,182,-200,4.496,0.052,-0.208,0.947,0.308,-0.096,295.81454,47.69035,15.341
18,10485250,K00745.01,16.46983774,1.36E-05,-1.36E-05,180.881761,6.23E-04,-6.23E-04,0.292,0.118,-0.101,9.4378,0.06,-0.06,7.94,8.90E-01,-8.90E-01,595,,,29.61,12.01,-8.91,5152,168,-153,4.517,0.088,-0.072,0.786,0.088,-0.088,297.15442,47.668701,15.788
19,10526549,K00746.01,9.27358173,1.04E-05,-1.04E-05,173.258155,8.77E-04,-8.77E-04,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,2.47,2.00E-01,-2.40E-01,649,,,41.85,12.49,-11.7,4856,131,-146,4.583,0.065,-0.035,0.696,0.056,-0.068,288.13824,47.724449,15.302
20,10583066,K00747.01,6.02930329,5.51E-06,-5.51E-06,171.602959,7.13E-04,-7.13E-04,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,2.85,2.60E-01,-1.50E-01,678,,,50.04,16.4,-9.88,4537,123,-123,4.648,0.02,-0.056,0.672,0.062,-0.036,283.71088,47.86327,15.784
21,10583180,K00748.01,2.696370652,7.53E-06,-7.53E-06,170.73769,2.34E-03,-2.34E-03,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,1.58,1.30E-01,-1.60E-01,1066,,,305.34,96.64,-86.33,4989,149,-149,4.504,0.09,-0.06,0.819,0.067,-0.082,283.76547,47.804298,15.269
22,10601284,K00749.01,5.349553819,8.83E-06,-8.83E-06,171.80694,1.27E-03,-1.27E-03,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,2.55,1.60E-01,-2.40E-01,919,,,168.99,34.66,-38.48,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416
23,10601284,K00749.02,3.94105221,1.09E-05,-1.09E-05,136.08662,2.33E-03,-2.33E-03,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,1.7,1.10E-01,-1.60E-01,1018,,,253.15,51.91,-57.65,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416
24,10601284,K00749.03,8.10904807,6.79E-05,-6.79E-05,132.8031,7.16E-03,-7.16E-03,0.025,0.425,-0.025,3.596,0.198,-0.198,1.3,9.00E-02,-1.20E-01,800,,,97.03,19.9,-22.09,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416
25,2306756,K00113.01,386.6030528,1.37E-04,-1.37E-04,166.342079,2.99E-04,-2.99E-04,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,41.5,1.68E+00,-1.68E+00,297,,,1.84,0.26,-0.24,5543,79,-79,4.081,0.014,-0.014,1.58,0.064,-0.064,292.27374,37.671558,12.394
26,10662202,K00750.01,21.67699193,7.01E-05,-7.01E-05,171.53594,2.58E-03,-2.58E-03,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,2.95,1.20E-01,-2.30E-01,530,,,18.64,2.78,-3.8,4954,79,-79,4.5,0.075,-0.02,0.828,0.032,-0.065,290.46512,47.92918,15.377
27,10682541,K00751.01,4.99677968,1.39E-05,-1.39E-05,171.74208,2.19E-03,-2.19E-03,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,2.78,5.20E-01,-2.30E-01,917,,,166.95,102.06,-42.14,5339,175,-159,4.552,0.034,-0.136,0.847,0.161,-0.069,297.80826,47.946671,15.861
28,11460018,K00769.01,4.280963604,6.14E-06,-6.14E-06,171.89659,1.15E-03,-1.15E-03,0.424,0.112,-0.356,2.875,0.042,-0.042,2.3,5.80E-01,-1.90E-01,1012,,,247.87,182.24,-63.32,5644,152,-169,4.564,0.032,-0.168,0.831,0.207,-0.069,294.26581,49.314091,15.356
29,11463211,K00770.01,1.50635409,4.70E-07,-4.70E-07,170.998064,2.46E-04,-2.46E-04,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,4.53,1.01E+00,-4.40E-01,1452,,,1054.12,703.1,-292.26,5714,155,-172,4.563,0.04,-0.16,0.831,0.186,-0.08,295.66522,49.351009,15.525
30,11465813,K00771.01,670.645531,1.24E-03,-1.24E-03,209.04355,1.57E-03,-1.57E-03,0.701,0.004,-0.005,53.412,0.131,-0.131,14.14,2.13E+00,-7.10E-01,196,,,0.35,0.15,-0.06,5520,100,-111,4.466,0.032,-0.12,0.983,0.148,-0.049,296.69861,49.316479,15.207
31,11493732,K00772.01,61.2563628,1.56E-04,-1.56E-04,173.83826,2.09E-03,-2.09E-03,1.248,6.912,-0.067,7.633,0.105,-0.105,39.87,1.28E+01,-5.48E+00,505,,,15.43,14.85,-5.51,6144,184,-220,4.402,0.072,-0.217,1.091,0.35,-0.15,283.72592,49.479519,15.25
32,11507101,K00773.01,38.3775486,1.60E-04,-1.60E-04,172.82048,3.38E-03,-3.38E-03,0.468,0.461,-0.267,5.588,0.113,-0.113,2.82,3.70E-01,-3.40E-01,529,,,18.53,6.72,-4.93,5481,82,-74,4.369,0.121,-0.099,1.036,0.138,-0.124,291.72202,49.480869,15.172
33,10910878,K00757.02,41.19725502,9.35E-05,-9.35E-05,165.00404,1.71E-03,-1.71E-03,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,3.86,1.50E-01,-3.30E-01,439,,,8.76,1.27,-1.9,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
34,10910878,K00757.03,6.252962249,9.58E-06,-9.58E-06,171.30126,1.17E-03,-1.17E-03,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,2.65,1.00E-01,-2.30E-01,823,,,108.3,15.73,-23.44,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
35,10987985,K00758.01,16.01308419,4.85E-05,-4.85E-05,176.3608,2.43E-03,-2.43E-03,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,3.1,3.40E-01,-3.10E-01,593,,,29.31,11.77,-8.24,5015,164,-149,4.499,0.092,-0.115,0.826,0.091,-0.082,297.02563,48.478588,15.39
36,11018648,K00759.01,32.62876672,5.80E-05,-5.80E-05,194.1019,1.38E-03,-1.38E-03,0.021,0.402,-0.021,4.7971,0.058,-0.058,3.36,7.60E-01,-3.30E-01,506,,,15.55,10.51,-4.18,5586,152,-152,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082
37,11018648,K00759.02,91.7732862,7.52E-04,-7.52E-04,193.8378,6.43E-03,-6.43E-03,0.606,0.335,-0.4,6.473,0.204,-0.204,2.12,4.80E-01,-2.10E-01,359,,,3.92,2.64,-1.06,5586,152,-152,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082
38,11138155,K00760.01,4.959319244,5.15E-07,-5.15E-07,172.2585292,8.27E-05,-8.27E-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,12.21,1.96E+00,-1.46E+00,1103,,,349.4,146.52,-93.21,5712,77,-77,4.359,0.11,-0.11,1.082,0.173,-0.13,292.16705,48.727589,15.263
39,11152159,K00761.01,2.701287801,5.63E-06,-5.63E-06,170.69579,1.64E-03,-1.64E-03,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,6.54,1.64E+00,-7.50E-01,1222,,,527.81,411.33,-166.35,5550,182,-182,4.468,0.091,-0.169,0.91,0.228,-0.105,297.92365,48.777321,15.54
40,11153539,K00762.01,4.49876511,1.78E-05,-1.78E-05,171.34905,3.00E-03,-3.00E-03,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,2.1,6.50E-01,-2.20E-01,1133,,,389.62,365.71,-117.4,6075,189,-210,4.486,0.052,-0.208,0.969,0.3,-0.1,298.45685,48.791592,15.395
41,11242721,K00763.01,19.65120951,5.86E-06,-5.86E-06,179.401981,2.49E-04,-2.49E-04,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,12.42,3.92E+00,-1.69E+00,730,,,67.03,62.46,-23.51,6074,168,-210,4.391,0.09,-0.21,1.063,0.336,-0.144,291.0939,48.933842,15.536
42,9579641,K00115.01,5.412203927,3.05E-06,-3.05E-06,133.143089,4.68E-04,-4.68E-04,0.787,0.005,-0.565,2.9472,0.024,-0.024,2.94,4.30E-01,-3.80E-01,1093,,,337.68,137.29,-102.18,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
43,11304958,K00764.01,41.43958662,7.56E-05,-7.56E-05,208.93203,1.42E-03,-1.42E-03,0.355,0.04,-0.355,10.5989,0.088,-0.088,5.5,1.57E+00,-9.60E-01,516,,,16.72,14.66,-6.64,5468,180,-164,4.367,0.153,-0.187,1.046,0.297,-0.183,295.55505,49.017342,15.4
44,11391957,K00765.01,8.35389523,1.52E-05,-1.52E-05,171.63257,1.33E-03,-1.33E-03,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,2.52,5.40E-01,-2.40E-01,790,,,91.9,59.06,-24.15,5592,152,-152,4.582,0.036,-0.144,0.787,0.169,-0.073,285.49924,49.277351,15.317
45,11403044,K00766.01,4.125543472,3.13E-06,-3.13E-06,169.752585,6.13E-04,-6.13E-04,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,4.43,1.44E+00,-5.10E-01,1243,,,565.35,542.47,-188.14,6174,173,-239,4.417,0.056,-0.21,1.103,0.358,-0.128,291.93616,49.253979,15.506
46,11414511,K00767.01,2.816504904,1.65E-07,-1.65E-07,170.9676846,4.66E-05,-4.66E-05,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,12.21,1.62E+00,-8.70E-01,1219,,,521.13,184.34,-97.95,5532,74,-83,4.452,0.063,-0.108,0.955,0.127,-0.068,297.01547,49.225288,15.052
47,11442465,K00768.01,33.93373447,6.15E-05,-6.15E-05,186.67608,1.37E-03,-1.37E-03,0.812,0.006,-0.009,14.561,0.104,-0.104,7.34,9.00E-01,-6.00E-01,430,,,8.11,3.25,-2.06,5040,136,-151,4.628,0.03,-0.07,0.705,0.086,-0.058,284.17233,49.360722,15.716
48,12110942,K00786.01,3.689920099,8.98E-06,-8.98E-06,170.36571,1.91E-03,-1.91E-03,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,1.89,5.40E-01,-2.00E-01,1147,,,408.99,342.24,-123.32,5880,157,-192,4.518,0.046,-0.196,0.917,0.262,-0.098,291.62241,50.61824,15.242
49,12366084,K00787.01,4.431238488,6.11E-06,-6.11E-06,171.015,1.11E-03,-1.11E-03,0.405,0.041,-0.405,3.15,0.0423,-0.0423,3.25,4.70E-01,-2.50E-01,1104,,,351.23,135.26,-68.33,5714,77,-77,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367
50,12366084,K00787.02,11.37936986,2.42E-05,-2.42E-05,133.84992,1.83E-03,-1.83E-03,0.911,0.009,-0.656,2.6255,0.073,-0.073,3.95,5.70E-01,-3.10E-01,806,,,99.68,38.38,-19.39,5714,77,-77,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367
51,12404086,K00788.01,26.39432897,5.72E-05,-5.72E-05,176.05459,1.76E-03,-1.76E-03,0.602,0.25,-0.396,3.573,0.0643,-0.0643,3.07,4.10E-01,-2.20E-01,489,,,13.49,6.07,-3.21,5129,154,-154,4.595,0.03,-0.084,0.763,0.103,-0.055,289.39972,51.25032,15.234
52,8395660,K00116.01,13.57078281,1.59E-05,-1.59E-05,136.279194,9.57E-04,-9.57E-04,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,2.64,4.00E-01,-2.70E-01,785,,,89.61,38.12,-22.92,5854,105,-117,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882
53,9579641,K00115.02,7.12594387,1.41E-05,-1.41E-05,139.00492,1.59E-03,-1.59E-03,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,1.79,2.60E-01,-2.30E-01,997,,,233.31,94.86,-70.6,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
54,11656840,K00774.01,7.442652004,7.02E-07,-7.02E-07,169.9717797,7.32E-05,-7.32E-05,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,15.03,4.73E+00,-1.58E+00,967,,,206.78,195.52,-61.76,6108,183,-201,4.469,0.07,-0.21,0.956,0.301,-0.1,288.98682,49.733742,15.27
55,11754553,K00775.01,16.38489988,5.22E-05,-5.22E-05,172.72782,2.48E-03,-2.48E-03,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,2,9.00E-02,-1.00E-01,433,,,8.35,1.49,-1.35,4126,82,-82,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095
56,11754553,K00775.02,7.8774163,1.49E-05,-1.49E-05,176.3759,1.47E-03,-1.47E-03,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,2.16,9.00E-02,-1.10E-01,553,,,22.18,3.97,-3.59,4126,82,-82,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095
57,11754553,K00775.03,36.4454001,1.81E-04,-1.81E-04,151.60125,3.92E-03,-3.92E-03,0.028,0.437,-0.028,4.007,0.126,-0.126,1.99,9.00E-02,-9.00E-02,332,,,2.88,0.51,-0.47,4126,82,-82,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095
58,11812062,K00776.01,3.728732147,9.36E-07,-9.36E-07,171.793255,1.95E-04,-1.95E-04,0.558,0.13,-0.149,2.683,0.035,-0.035,6.02,1.22E+00,-5.20E-01,1023,,,258.34,162.58,-65.21,5497,166,-149,4.577,0.034,-0.136,0.809,0.164,-0.07,290.78574,50.054119,15.523
59,11818800,K00777.01,40.4195037,1.14E-04,-1.14E-04,173.56469,2.22E-03,-2.22E-03,0.911,5.567,-0.118,3.362,0.14,-0.14,7.51,1.12E+00,-9.10E-01,467,,,11.29,5.67,-3.57,5446,179,-163,4.507,0.116,-0.105,0.781,0.116,-0.095,294.31686,50.080231,15.487
60,11853255,K00778.01,2.243380573,2.67E-06,-2.67E-06,170.679233,9.00E-04,-9.00E-04,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,1.99,1.00E-01,-1.20E-01,822,,,107.6,21.47,-20.32,4149,82,-91,4.698,0.024,-0.027,0.564,0.03,-0.033,285.17621,50.149818,15.135
61,11909839,K00779.01,10.40599802,2.52E-06,-2.52E-06,177.197466,1.90E-04,-1.90E-04,0.324,0.061,-0.075,6.5036,0.0145,-0.0145,11.23,2.92E+00,-1.95E+00,833,,,113.94,90.01,-45.01,5746,173,-173,4.393,0.18,-0.198,0.924,0.241,-0.16,289.23553,50.241001,15.562
62,11918099,K00780.01,2.337437946,1.95E-06,-1.95E-06,171.761982,6.59E-04,-6.59E-04,0.28,0.189,-0.28,1.9982,0.0271,-0.0271,2.34,1.70E-01,-9.00E-02,1070,,,311.16,69.46,-40.17,5005,79,-79,4.595,0.012,-0.064,0.765,0.055,-0.028,293.83331,50.23035,15.334
63,11918099,K00780.02,7.2406612,1.62E-05,-1.62E-05,137.75545,2.00E-03,-2.00E-03,1.198,49.85,-0.258,0.558,0.171,-0.171,19.45,1.40E+00,-7.10E-01,734,,,68.63,15.32,-8.86,5005,79,-79,4.595,0.012,-0.064,0.765,0.055,-0.028,293.83331,50.23035,15.334
64,9579641,K00115.03,3.43591631,4.73E-05,-4.73E-05,132.6624,1.10E-02,-1.10E-02,0.624,0.037,-0.476,3.133,0.407,-0.407,0.55,8.00E-02,-7.00E-02,1272,,,617.61,251.11,-186.88,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
65,11923270,K00781.01,11.59822233,1.41E-05,-1.41E-05,180.395376,9.23E-04,-9.23E-04,0.679,0.187,-0.47,2.5237,0.052,-0.052,2.65,2.10E-01,-2.90E-01,396,,,5.82,1.49,-1.63,3688,73,-91,4.79,0.05,-0.045,0.473,0.037,-0.051,296.22195,50.28722,15.937
66,11960862,K00782.01,6.575315881,3.73E-06,-3.73E-06,173.634044,4.55E-04,-4.55E-04,0.39,0.065,-0.306,4.3084,0.0306,-0.0306,5.31,1.50E+00,-8.10E-01,1015,,,251.38,209.1,-91.63,5992,162,-180,4.415,0.105,-0.195,0.989,0.28,-0.151,290.09805,50.321609,15.312
67,12020329,K00783.01,7.275040844,4.68E-06,-4.68E-06,169.994217,5.07E-04,-5.07E-04,0.547,0.052,-0.229,7.5377,0.0681,-0.0681,4.86,1.05E+00,-3.70E-01,833,,,113.64,75.31,-28.97,5485,164,-180,4.556,0.028,-0.161,0.867,0.187,-0.067,295.45529,50.49456,15.08
68,12066335,K00784.01,19.27153892,4.15E-05,-4.15E-05,186.77093,1.82E-03,-1.82E-03,0.031,0.36,-0.031,2.7594,0.0551,-0.0551,1.93,1.00E-01,-1.20E-01,393,,,5.66,1.13,-1.06,4077,81,-81,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385
69,12066335,K00784.02,10.06524317,1.49E-05,-1.49E-05,136.28906,1.19E-03,-1.19E-03,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1.91,1.00E-01,-1.20E-01,488,,,13.43,2.69,-2.5,4077,81,-81,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385
70,12070811,K00785.01,12.3935651,3.93E-05,-3.93E-05,178.74725,2.45E-03,-2.45E-03,0.883,0.033,-0.64,3.8896,0.0834,-0.0834,2.66,5.40E-01,-2.30E-01,677,,,49.68,31.16,-12.97,5557,166,-166,4.603,0.034,-0.128,0.75,0.152,-0.065,296.02133,50.56778,15.505
71,8395660,K00116.02,43.84439721,9.61E-05,-9.61E-05,151.93538,1.92E-03,-1.92E-03,0.852,0.039,-0.585,6.802,0.119,-0.119,2.87,4.30E-01,-3.00E-01,531,,,18.77,7.98,-4.8,5854,105,-117,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882
72,3120431,K00798.01,3.341913228,9.95E-06,-9.95E-06,171.63943,2.47E-03,-2.47E-03,1.213,11.28,-0.141,3.813,0.12,-0.12,21.55,3.54E+00,-1.89E+00,1032,,,268.67,145.91,-70.67,5295,175,-159,4.551,0.049,-0.105,0.811,0.133,-0.071,292.31595,38.27029,15.629
73,3246984,K00799.01,1.626630225,1.02E-06,-1.02E-06,169.820171,4.87E-04,-4.87E-04,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,32.43,9.00E+00,-4.83E+00,1547,,,1355.88,1105.99,-486.6,5735,155,-172,4.41,0.124,-0.186,0.973,0.27,-0.145,294.36819,38.31028,15.279
74,3342970,K00800.01,2.711504086,3.80E-06,-3.80E-06,170.03417,1.11E-03,-1.11E-03,0.023,0.405,-0.023,3.0099,0.0423,-0.0423,3.12,1.02E+00,-3.40E-01,1420,,,960.79,931.74,-309.76,6214,174,-239,4.442,0.054,-0.216,1.076,0.353,-0.118,291.65353,38.494659,15.541
75,3342970,K00800.02,7.21203748,1.55E-05,-1.55E-05,172.81782,1.63E-03,-1.63E-03,0.012,0.394,-0.012,4.0491,0.058,-0.058,3.32,1.09E+00,-3.60E-01,1025,,,260.58,252.7,-84.01,6214,174,-239,4.442,0.054,-0.216,1.076,0.353,-0.118,291.65353,38.494659,15.541
76,12459725,K00789.01,14.1798187,1.64E-04,-1.64E-04,171.50237,7.60E-03,-7.60E-03,0.1601,0.2975,-0.16,2.505,0.315,-0.315,1.88,7.10E-01,-1.40E-01,711,,,60.35,67.75,-14.34,5799,161,-168,4.539,0.027,-0.275,0.878,0.333,-0.065,291.0448,51.321671,15.727
77,12470844,K00790.01,8.47237911,1.56E-05,-1.56E-05,174.16212,1.49E-03,-1.49E-03,0.022,0.378,-0.022,2.7245,0.0484,-0.0484,2.59,3.70E-01,-2.20E-01,751,,,75.44,35.44,-19.3,5354,159,-159,4.587,0.032,-0.104,0.788,0.113,-0.066,296.36652,51.319519,15.339
78,12470844,K00790.02,60.4189369,5.04E-04,-5.04E-04,181.16367,6.25E-03,-6.25E-03,0.094,0.359,-0.094,5.039,0.184,-0.184,2.36,3.40E-01,-2.00E-01,390,,,5.49,2.58,-1.4,5354,159,-159,4.587,0.032,-0.104,0.788,0.113,-0.066,296.36652,51.319519,15.339
79,12644822,K00791.01,12.61190435,6.65E-06,-6.65E-06,180.892284,4.13E-04,-4.13E-04,0.55,0.065,-0.128,5.1497,0.0592,-0.0592,7.4,2.20E+00,-7.30E-01,753,,,76.15,66.33,-21.39,5795,156,-173,4.508,0.039,-0.208,0.919,0.273,-0.091,289.11221,51.737381,15.14
80,2440757,K00792.01,1.433769925,7.41E-07,-7.41E-07,170.403536,3.97E-04,-3.97E-04,1.268,5.652,-0.123,1.8868,0.0232,-0.0232,46.58,8.01E+00,-8.00E+00,1920,,,3209.29,1411.94,-1136.62,6017,72,-90,4.22,0.156,-0.117,1.339,0.23,-0.23,290.84369,37.728828,15.122
81,2445129,K00793.01,10.31872301,2.85E-05,-2.85E-05,173.31543,2.24E-03,-2.24E-03,1.215,59.52,-0.463,3.836,0.121,-0.121,28.59,8.61E+00,-3.69E+00,876,,,139.26,125.69,-46.77,5927,176,-193,4.409,0.084,-0.196,1.06,0.319,-0.137,291.84891,37.713501,15.065
82,2713049,K00794.01,2.539183147,5.07E-06,-5.07E-06,169.67494,1.60E-03,-1.60E-03,0.238,0.198,-0.238,2.4282,0.0559,-0.0559,2.06,2.90E-01,-2.80E-01,1332,,,743.09,290.34,-212.44,5519,82,-74,4.35,0.126,-0.103,1.062,0.154,-0.14,291.43997,37.905659,15.026
