rowid,kepid,kepoi_name,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
5041,10068919,K03573.01,43.56225858,2.73E-05,-2.73E-05,153.270753,5.15E-04,-5.15E-04,1.295,36.42,-0.116,3.6873,0.0305,-0.0305,80.02,2.53E+01,-1.26E+01,624,,,35.83,32.71,-13.36,6411,162,-194,4.307,0.108,-0.201,1.216,0.384,-0.192,289.26416,47.005989,13.676
5042,7353970,K03574.01,198.443477,1.15E-04,-1.15E-04,155.615557,4.84E-04,-4.84E-04,1.149,0.051,-0.043,9.9776,0.0268,-0.0268,41.72,4.23E+00,-2.79E+00,279,,,1.44,0.44,-0.29,5420,107,-107,4.502,0.056,-0.077,0.868,0.088,-0.058,289.02493,42.935928,13.76
5043,12316447,K03575.01,17.90766473,3.62E-06,-3.62E-06,139.743761,2.29E-04,-2.29E-04,2.79,0.146,-0.154,5.58652,0.00892,-0.00892,282.86,9.27E+01,-3.10E+01,746,,,73.31,72.83,-23.57,6173,193,-236,4.447,0.054,-0.216,1.041,0.341,-0.114,296.11542,51.007111,16.107
5044,5823557,K07743.01,2.4044122,3.67E-05,-3.67E-05,133.2244,1.67E-02,-1.67E-02,0.559,0.004,-0.482,4.575,0.591,-0.591,0.85,2.60E-01,-1.60E-01,1662,,,1805.11,1615.47,-764.68,6398,175,-214,4.276,0.132,-0.198,1.249,0.38,-0.234,299.63028,41.03569,13.894
5045,10491554,K03576.01,22.77196484,2.33E-05,-2.33E-05,140.4865,1.04E-03,-1.04E-03,0.603,0.045,-0.043,8.3476,0.0288,-0.0288,104.17,2.89E+01,-3.85E+01,835,,,114.9,100.17,-75.33,6049,211,-211,4.067,0.35,-0.15,1.557,0.432,-0.576,298.91333,47.657871,15.018
5046,9785454,K03577.01,184.5201539,4.78E-05,-4.78E-05,237.698721,1.98E-04,-1.98E-04,0.886,0.008,-0.008,15.3564,0.0172,-0.0172,23.38,4.21E+00,-3.17E+00,275,,,1.36,0.77,-0.45,5341,160,-144,4.514,0.096,-0.132,0.776,0.14,-0.105,297.34164,46.543362,14.07
5047,8636333,K03349.01,82.175197,1.13E-03,-1.13E-03,197.20187,8.82E-03,-8.82E-03,0.015,0.44,-0.015,8.664,0.323,-0.323,2.24,6.80E-01,-2.30E-01,441,,,8.92,8.18,-2.63,6247,188,-206,4.489,0.05,-0.2,0.954,0.291,-0.097,295.94827,44.75312,15.292
5048,7136958,K03350.01,29.01585293,5.70E-06,-5.70E-06,138.402477,1.81E-04,-1.81E-04,12.223,21.37,-1.743,7.19844,0.00823,-0.00823,1183.06,3.28E+02,-2.01E+02,592,,,29.11,24.94,-11.57,5783,190,-190,4.415,0.139,-0.186,0.941,0.261,-0.16,296.93976,42.691921,15.546
5049,1995732,K03351.01,77.36241476,2.22E-05,-2.22E-05,139.095626,2.41E-04,-2.41E-04,0.995,0.03,-0.035,12.1317,0.0118,-0.0118,41.66,7.54E+00,-3.48E+00,362,,,4.08,2.31,-1.05,5359,159,-159,4.57,0.037,-0.112,0.79,0.143,-0.066,286.216,37.42524,15.673
5050,6069674,K07761.01,495.71095,1.59E-02,-1.59E-02,450.0348,1.64E-02,-1.64E-02,0.718,0.244,-0.496,4.514,0.817,-0.817,4.41,1.08E+00,-2.01E+00,330,,,2.8,2.15,-2.07,6054,201,-201,3.911,0.472,-0.118,1.953,0.479,-0.89,298.88452,41.300442,13.867
5051,8081239,K03352.01,10.35857039,6.26E-05,-6.26E-05,138.30794,4.48E-03,-4.48E-03,0.074,0.373,-0.074,2.577,0.123,-0.123,1.68,5.00E-01,-2.20E-01,860,,,129.28,113.22,-42.29,5893,158,-176,4.423,0.084,-0.196,1.02,0.305,-0.131,284.5321,43.98996,15.408
5052,5308663,K01562.02,20.0679247,2.76E-04,-2.76E-04,150.7703,1.15E-02,-1.15E-02,0.849,0.104,-0.628,5.236,0.228,-0.228,2.25,6.60E-01,-2.10E-01,662,,,45.49,40.49,-13.81,5997,189,-231,4.522,0.05,-0.2,0.904,0.264,-0.088,299.556,40.456551,15.59
5053,3745559,K03423.01,30.2541186,2.08E-04,-2.08E-04,136.63873,5.85E-03,-5.85E-03,0.122,0.331,-0.122,2.134,0.177,-0.177,2.8,9.60E-01,-3.20E-01,660,,,44.87,45.39,-14.13,6277,170,-208,4.402,0.056,-0.224,1.161,0.4,-0.133,291.06204,38.863312,14.296
